ControlNumber,Description,CheckStatus,CheckDate,Command
1.1.1 (L1),Ensure Administrative accounts are cloud-only (Automated),,,
1.1.2 (L1),Ensure two emergency access accounts have been defined (Manual),,,
1.1.3 (L1),Ensure that between two and four global admins are designated (Automated),,,
1.2.1 (L2),Ensure that only organizationally managed/approved public groups exist (Automated),,,
1.2.2 (L1),Ensure sign-in to shared mailboxes is blocked (Automated),,,
1.3.1 (L1),Ensure the 'Password expiration policy' is set to 'Set passwords to never expire (recommended)' (Automated),,,
1.3.2 (L2),Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices (Automated),,,
1.3.3 (L2),Ensure 'External sharing' of calendars is not available (Automated),,,
1.3.4 (L1),Ensure 'User owned apps and services' is restricted (Automated),,,
1.3.5 (L1),Ensure internal phishing protection for Forms is enabled (Automated),,,
1.3.6 (L2),Ensure the customer lockbox feature is enabled (Automated),,,
1.3.7 (L2),Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web' (Automated),,,
1.3.8 (L2),Ensure that Sways cannot be shared with people outside of your organization (Manual),,,
2.1.1 (L2),Ensure Safe Links for Office Applications is Enabled (Automated),,,
2.1.2 (L1),Ensure the Common Attachment Types Filter is enabled (Automated),,,
2.1.3 (L1),Ensure notifications for internal users sending malware is Enabled (Automated),,,
2.1.4 (L2),Ensure Safe Attachments policy is enabled (Automated),,,
2.1.5 (L2),"Ensure Safe Attachments for SharePoint, OneDrive, and Microsoft Teams is Enabled (Automated)",,,
2.1.6 (L1),Ensure Exchange Online Spam Policies are set to notify administrators (Automated),,,
2.1.7 (L2),Ensure that an anti-phishing policy has been created (Automated),,,
2.1.8 (L1),Ensure that SPF records are published for all Exchange Domains (Automated),,,
2.1.9 (L1),Ensure that DKIM is enabled for all Exchange Online Domains (Automated),,,
2.1.10 (L1),Ensure DMARC Records for all Exchange Online domains are published (Automated),,,
2.1.11 (L2),Ensure comprehensive attachment filtering is applied (Automated),,,
2.1.12 (L1),Ensure the connection filter IP allow list is not used (Automated),,,
2.1.13 (L1),Ensure the connection filter safe list is off (Automated),,,
2.1.14 (L1),Ensure inbound anti-spam policies do not contain allowed domains (Automated),,,
2.2.1 (L1),Ensure emergency access account activity is monitored (Manual),,,
2.4.1 (L1),Ensure Priority account protection is enabled and configured (Automated),,,
2.4.2 (L1),Ensure Priority accounts have 'Strict protection' presets applied (Automated),,,
2.4.3 (L2),Ensure Microsoft Defender for Cloud Apps is enabled and configured (Manual),,,
2.4.4 (L1),Ensure Zero-hour auto purge for Microsoft Teams is on (Automated),,,
3.1.1 (L1),Ensure Microsoft 365 audit log search is Enabled (Automated),,,
3.2.1 (L1),Ensure DLP policies are enabled (Manual),,,
3.2.2 (L1),Ensure DLP policies are enabled for Microsoft Teams (Automated),,,
3.3.1 (L1),Ensure Information Protection sensitivity label policies are published (Automated),,,
5.3.1 (L2),Ensure 'Privileged Identity Management' is used to manage roles (Automated),,,
5.3.2 (L1),Ensure 'Access reviews' for Guest Users are configured (Automated),,,
5.3.3 (L1),Ensure 'Access reviews' for privileged roles are configured (Automated),,,
5.3.4 (L1),Ensure approval is required for Global Administrator role activation (Manual),,,
5.3.5 (L1),Ensure approval is required for Privileged Role Administrator activation (Manual),,,
6.1.1 (L1),Ensure 'AuditDisabled' organizationally is set to 'False' (Automated),,,
6.1.2 (L1),Ensure mailbox audit actions are configured (Automated),,,
6.1.3 (L1),Ensure 'AuditBypassEnabled' is not enabled on mailboxes (Automated),,,
6.2.1 (L1),Ensure all forms of mail forwarding are blocked and/or disabled (Automated),,,
6.2.2 (L1),Ensure mail transport rules do not whitelist specific domains (Automated),,,
6.2.3 (L1),Ensure email from external senders is identified (Automated),,,
6.3.1 (L2),Ensure users installing Outlook add-ins is not allowed (Automated),,,
6.5.1 (L1),Ensure modern authentication for Exchange Online is enabled (Automated),,,
6.5.2 (L1),Ensure MailTips are enabled for end users (Automated),,,
6.5.3 (L2),Ensure additional storage providers are restricted in Outlook on the web (Automated),,,
6.5.4 (L1),Ensure SMTP AUTH is disabled (Automated),,,
7.2.1 (L1),Ensure modern authentication for SharePoint applications is required (Automated),,,
7.2.2 (L1),Ensure SharePoint and OneDrive integration with Azure AD B2B is enabled (Automated),,,
