Area,SubArea,ControlId,Level,Assessment,Title
"1 Microsoft 365 admin center","1.1 Users","1.1.1","L1","Automated","Ensure Administrative accounts are cloud-only"
"1 Microsoft 365 admin center","1.1 Users","1.1.2","L1","Manual","Ensure two emergency access accounts have been defined"
"1 Microsoft 365 admin center","1.1 Users","1.1.3","L1","Automated","Ensure that between two and four global admins are designated"
"1 Microsoft 365 admin center","1.1 Users","1.1.4","L1","Automated","Ensure administrative accounts use licenses with a reduced application footprint"
"1 Microsoft 365 admin center","1.2 Teams & groups","1.2.1","L2","Automated","Ensure that only organizationally managed/approved public groups exist"
"1 Microsoft 365 admin center","1.2 Teams & groups","1.2.2","L1","Automated","Ensure sign-in to shared mailboxes is blocked"
"1 Microsoft 365 admin center","1.3 Settings","1.3.1","L1","Automated","Ensure the 'Password expiration policy' is set to 'Set passwords to never expire (recommended)'"
"1 Microsoft 365 admin center","1.3 Settings","1.3.2","L2","Automated","Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices"
"1 Microsoft 365 admin center","1.3 Settings","1.3.3","L2","Automated","Ensure 'External sharing' of calendars is not available"
"1 Microsoft 365 admin center","1.3 Settings","1.3.4","L1","Automated","Ensure 'User owned apps and services' is restricted"
"1 Microsoft 365 admin center","1.3 Settings","1.3.5","L1","Automated","Ensure internal phishing protection for Forms is enabled"
"1 Microsoft 365 admin center","1.3 Settings","1.3.6","L2","Automated","Ensure the customer lockbox feature is enabled"
"1 Microsoft 365 admin center","1.3 Settings","1.3.7","L2","Automated","Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web'"
"1 Microsoft 365 admin center","1.3 Settings","1.3.8","L2","Manual","Ensure that Sways cannot be shared with people outside of your organization"
"1 Microsoft 365 admin center","1.3 Settings","1.3.9","L1","Automated","Ensure shared bookings paged are restricted to select users"

"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.1","L2","Automated","Ensure Safe Links for Office Applications is Enabled"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.2","L1","Automated","Ensure the Common Attachment Types Filter is enabled"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.3","L1","Automated","Ensure notifications for internal users sending malware is Enabled"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.4","L2","Automated","Ensure Safe Attachments policy is enabled"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.5","L2","Automated","Ensure Safe Attachments for SharePoint, OneDrive, and Microsoft Teams is Enabled"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.6","L1","Automated","Ensure Exchange Online Spam Policies are set to notify administrators"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.7","L2","Automated","Ensure that an anti-phishing policy has been created"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.8","L1","Automated","Ensure that SPF records are published for all Exchange Domains"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.9","L1","Automated","Ensure that DKIM is enabled for all Exchange Online Domains"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.10","L1","Automated","Ensure DMARC Records for all Exchange Online domains are published"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.11","L2","Automated","Ensure comprehensive attachment filtering is applied"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.12","L1","Automated","Ensure the connection filter IP allow list is not used"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.13","L1","Automated","Ensure the connection filter safe list is off"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.14","L1","Automated","Ensure inbound anti-spam policies do not contain allowed domains"
"2 Microsoft 365 Defender","2.1 Email & collaboration","2.1.15","L1","Automated","Ensure outbound anti-spam message limits are in place"
"2 Microsoft 365 Defender","2.2 Cloud apps","2.2.1","L1","Manual","Ensure emergency access account activity is monitored"
"2 Microsoft 365 Defender","2.3 Audit","2.3","L1","(none)","(No specific recommendations defined in summary table)"
"2 Microsoft 365 Defender","2.4 System","2.4.1","L1","Automated","Ensure Priority account protection is enabled and configured"
"2 Microsoft 365 Defender","2.4 System","2.4.2","L1","Automated","Ensure Priority accounts have 'Strict protection' presets applied"
"2 Microsoft 365 Defender","2.4 System","2.4.3","L2","Manual","Ensure Microsoft Defender for Cloud Apps is enabled and configured"
"2 Microsoft 365 Defender","2.4 System","2.4.4","L1","Automated","Ensure Zero-hour auto purge for Microsoft Teams is on"

"3 Microsoft Purview","3.1 Audit","3.1.1","L1","Automated","Ensure Microsoft 365 audit log search is Enabled"
"3 Microsoft Purview","3.2 Data loss protection","3.2.1","L1","Automated","Ensure DLP policies are enabled"
"3 Microsoft Purview","3.2 Data loss protection","3.2.2","L1","Automated","Ensure DLP policies are enabled for Microsoft Teams"
